ID,WORDPLAY,TARGET_WORD,DISAMBIGUATION,HORIZONTAL/VERTICAL,MANIPULATION_TYPE,MANIPULATION_LEVEL,CULTURAL_REFERENCE,CONVENTIONAL_FORM,OFFENSIVE
noun_1063,Elimentaler,Elimentaler,Emmental (cheese) + Eliminator,vertical,Similarity,Sound,False,False,
noun_1419,Cold 45,Cold 45,Cold + Colt 45 (gun),vertical,Similarity,Sound,False,False,
noun_1066,Dungeon Eagle,Dungeon Eagle,Dungeon + Desert Eagle (gun),vertical,Similarity,Sound,False,False,
noun_1421,Elephant Gun,Elephant Gun,[0],vertical,Identity,Other,False,False,
noun_938,Huntsman,Huntsman,[0],vertical,Similarity,Sound,False,False,
noun_492,JK-47,JK-47,JK (Just Kidding) + AK-47,vertical,Similarity,Sound,False,False,
noun_231,AKEY-47,AKEY-47,AK-47 + key,vertical,Similarity,Sound,False,False,
noun_522,Dragunfire,Dragunfire,dragon fire + gun,vertical,Similarity,Sound,False,False,
noun_85,Mourning Star,Mourning Star,to mourn + morning star,vertical,Similarity,Sound,False,False,
noun_580,Gunderfury,Gunderfury,gun + Thunderfury (a legendary sword from World of Warcraft),vertical,Similarity,Sound,True,False,
noun_648,Fightsabre,Fightsabre,lightsabre + fight,vertical,Similarity,Sound,False,False,
noun_427,Stinger,Stinger,Stinger (real weapon)/stinger of a wasp,vertical,Identity,Sound,False,False,
noun_46,Lil' Bomber,Lil' Bomber,lil' (abbreviation of little) + bomber,vertical,Identity,Sound,False,False,
noun_384,Unicorn Horn,Unicorn Horn,consonance 'orn',vertical,Similarity,Sound,False,False,
noun_97,Super Meat Gun,Super Meat Gun,Super Meat Boy,vertical,Similarity,Sound,True,False,
noun_1082,Freeze Ray,Freeze Ray,[0],vertical,Identity,Sound,False,False,
noun_428,Mega Douser,Mega Douser,[0],vertical,Identity,Sound,False,False,
noun_45,Plunger,Plunger,[0],vertical,Identity,Sound,False,False,
noun_1181,Mahoguny,Mahoguny,mahogany (type of wood) + gun,vertical,Similarity,Sound,False,False,
noun_687,Origuni,Origuni,origami + gun,vertical,Similarity,Sound,False,False,
noun_720,Tear Jerker,Tear Jerker,Isaac fights with his own tears.,vertical,Identity,Sound,False,False,
noun_534,Starpew,Starpew,star + pew (sound of a firing gun). Starpew/Stardew Valley (a farming game),vertical,Similarity,Sound,True,False,
noun_991,Excaliber,Excaliber,Excalibur (legendary sword) + caliber,vertical,Permutation,Sound,False,False,
noun_817,Face Melter,Face Melter,"""face-melter"" = an intense solo in heavy metal.",vertical,Identity,Sound,True,False,
noun_1436,Black Hole Gun,Black Hole Gun,gun/sun,vertical,Similarity,Sound,True,False,
noun_34,Devolver,Devolver,revolver/Devolver (the game publisher),vertical,Similarity,Sound,True,False,
noun_604,iBomb Companion App,iBomb Companion App,"i (iMac, iPod, etc.) + bomb companion + app (Mac applications)",vertical,Similarity,Sound,False,False,
noun_819,Shotgun Coffee,Shotgun Coffee,shotgun/shot (small glass),vertical,Identity,Sound,False,False,
noun_1415,Disarming Personality,Disarming Personality,disarming/charming,vertical,Identity,Sound,False,False,
noun_43,Gundromeda Strain,Gundromeda Strain,gun + andromeda,vertical,Similarity,Sound,True,False,
noun_772,Holey Grail,Holey Grail,holey/holy,vertical,Similarity,Sound,False,False,
noun_776,Gun Fairy,Gun Fairy,[0],vertical,Identity,Sound,False,False,
noun_393,Gatling Gull,Gatling Gull,gatling gun/gull,vertical,Similarity,Sound,False,False,
noun_1411,High Dragun,High Dragun,dragon + gun,vertical,Similarity,Sound,False,False,
noun_724,Patches and Mendy,Patches and Mendy,to patch something up = to treat injury. to mend = to heal,vertical,Similarity,Sound,False,False,
noun_855,Asterix,Asterix,asterisk,vertical,Similarity,Sound,False,False,
noun_5,Obelix,Obelix,obelisk,vertical,Similarity,Sound,False,False,
noun_1048,Dogmatix,Dogmatix,dog + dogma,vertical,Similarity,Sound,False,False,
noun_821,Cacofonix,Cacofonix,cacophonic,vertical,Similarity,Sound,False,False,
noun_1060,Impedimenta,Impedimenta,impediment,vertical,Similarity,Sound,False,False,
noun_358,Unhygienix,Unhygienix,unhygienic,vertical,Similarity,Sound,False,False,
noun_310,Bacteria,Bacteria,Bacteria (Unhygienix's wife),vertical,Identity,Sound,False,False,
noun_812,Harmonix,Harmonix,harmony,vertical,Similarity,Sound,False,False,
noun_548,Analgesix,Analgesix,analgesic,vertical,Similarity,Sound,False,False,
noun_783,Atlantix,Atlantix,Atlantic,vertical,Similarity,Sound,False,False,
noun_1013,Acoustix,Acoustix,acoustics,vertical,Similarity,Sound,False,False,
noun_698,Photogenix,Photogenix,photogenic,vertical,Similarity,Sound,False,False,
noun_437,Operatix,Operatix,operative,vertical,Similarity,Sound,False,False,
noun_930,Semiautomatix,Semiautomatix,semiautomatic,vertical,Similarity,Sound,False,False,
noun_1158,Chantecleerix,Chantecleerix,Chanticleer,vertical,Similarity,Sound,False,False,
noun_1231,Adriatix,Adriatix,Adriatic,vertical,Similarity,Sound,False,False,
noun_550,Bucolix,Bucolix,bucolic,vertical,Similarity,Sound,False,False,
noun_327,Polytechnix,Polytechnix,polytechnic,vertical,Similarity,Sound,False,False,
noun_253,Scarlatina,Scarlatina,[latin] scarlatina febris = scarlet fever ,vertical,Identity,Sound,False,False,
noun_361,Baltix,Baltix,Baltic,vertical,Similarity,Sound,False,False,
noun_1228,Pacifix,Pacifix,pacific,vertical,Similarity,Sound,False,False,
noun_1227,Monosyllabix,Monosyllabix,monosyllabic,vertical,Similarity,Sound,False,False,
noun_853,Unhealthix,Unhealthix,unhealthy,vertical,Similarity,Sound,False,False,
noun_525,Wyskix,Wyskix,whisky,vertical,Similarity,Sound,False,False,
noun_128,Polysyllabix,Polysyllabix,polysyllabic,vertical,Similarity,Sound,False,False,
noun_898,Soporifix,Soporifix,soporific,vertical,Similarity,Sound,False,False,
noun_1225,Polyphonix,Polyphonix,polyphony,vertical,Similarity,Sound,False,False,
noun_1226,Wifix,Wifix,wifi,vertical,Similarity,Sound,False,False,
noun_449,Blicktnix,Blicktnix,"beatnik = people of the ""beat generation"" (1960s)",vertical,Similarity,Sound,False,False,
noun_352,Geriatrix,Geriatrix,geriatrics,vertical,Similarity,Sound,False,False,
