id,en,fr
pun_11_1,"""A good #deed is never lost. Character is #property, it is the noblest of possession."" - double #pun",Une bonne action n'est jamais perdue. C'est la propriété la plus noble des actionnaires.
pun_11_2,"""A good #deed is never lost. Character is #property, it is the noblest of possession."" - double #pun",On reconnaît la valeur d'un homme à ses actions en bourse
pun_11_3,"""A good #deed is never lost. Character is #property, it is the noblest of possession."" - double #pun",Quel est le comble pour un notaire? De transmettre toutes ses propriétés à sa descendance
pun_18_1,"""Dad, I'm cold.""
""Go stand in the corner, I hear it's 90 degrees."" #pun #dadjoke #funny","Où envoie-t-on un vilain petit canard?
On l'envoie au coin-coin."
pun_18_2,"""Dad, I'm cold.""
""Go stand in the corner, I hear it's 90 degrees."" #pun #dadjoke #funny","""Papa, j'ai froid.""
""Va au coin, il fait 90 degré là-bas."""
pun_19_1,"""Dad, I'm cold."" ""Go stand in the corner, I hear it's 90 degrees."" #pun #dadjoke #funny","La température idéale de cuisson des canards et de 90°, comme les coin-coins."
pun_20_1,"""Dad, I'm hungry."" Hello, Hungry. I'm Dad. #pun #dadjoke #funny","""Papa, je suis fatigué""
Bonjour Fatigué, je suis papa"
pun_23_1,"""I'll call you later."" Don't call me later, call me Dad. #pun #dadjoke #funny","""Je t'appellerai plus tard"". Ne m'appelle pas plus tard, appelle moi donc papa"
pun_35_1,"#Pun #Puns #DailyPun #DailyPuns #DadJokes 
The other day I held the door open for a clown.
It was a nice jester. https://t.co/8aHzFuPmia","L'autre jour, en arrivant chez un ami, il y avait une pierre qui tenait la porte ouverte. C'était un galet vraiment très poli. "
pun_36_1,"'3. 14159265,''Tom said piously."," '3,14159265', dit Tom, qui n'était point impie."
pun_36_2,"'3. 14159265,''Tom said piously."," '3,14159265', dit Tom avec pi été."
pun_36_3,"'3. 14159265,''Tom said piously.",« 3.14159265 » dit Tom pieusement.
pun_36_4,"'3. 14159265,''Tom said piously.","« 3,14159265 », déclara Tom pi-eusement."
pun_36_5,"'3. 14159265,''Tom said piously.","""3. 14159265,'' dit Tom pieusement."
pun_36_7,"'3. 14159265,''Tom said piously.","""3,14159265"", Tom dit pieusement."
pun_36_8,"'3. 14159265,''Tom said piously.","""3.14159265"", dit Tom, pieusement"
pun_36_9,"'3. 14159265,''Tom said piously.","""3,14159265"", dit Tom pieusement."
pun_36_11,"'3. 14159265,''Tom said piously.","""3,14159265', piaula Tom / fit Tom pieusement."
pun_36_13,"'3. 14159265,''Tom said piously.","“3.14159265”, dit pieusement Tom."
pun_36_14,"'3. 14159265,''Tom said piously.","""3. 14159265"", dit pieusement Tom."
pun_36_15,"'3. 14159265,''Tom said piously.","« 3. 14159265 », déclara Tom pieusement."
pun_36_16,"'3. 14159265,''Tom said piously.","""Environ 3.14"", arrondi Toto piteusement."
pun_37_1,'Angel dust ? Me ? Never touch it !''Tom snorted.," ""Vous m'accusez de dopage ? Moi ?"" dit Tom, ""C'est stupéfiant !"""
pun_37_2,'Angel dust ? Me ? Never touch it !''Tom snorted.,"La poussière d'ange ? Moi ? Je n'y touche jamais "" renifla Tom."
pun_37_3,'Angel dust ? Me ? Never touch it !''Tom snorted.,« La cocaïne ? Moi ? Je n’y ai jamais touché ! » s’offusqua Tom en montrant patte blanche. 
pun_37_4,'Angel dust ? Me ? Never touch it !''Tom snorted.,"« De la poudre féérique ? Moi ? Jamais ! », renifla Tom."
pun_37_5,'Angel dust ? Me ? Never touch it !''Tom snorted.,"""La cocaïne? moi? Jamais!, dit Tom en reniflant."
pun_37_6,'Angel dust ? Me ? Never touch it !''Tom snorted.,"""La poudre d'ange ? Moi ? Je n'y touche pas !"" a reniflé Tom"
pun_37_7,'Angel dust ? Me ? Never touch it !''Tom snorted.,""" Moi ? De la neige ? J'en ai jamais vu !"" dit Tom en reniflant."
pun_37_8,'Angel dust ? Me ? Never touch it !''Tom snorted.,"""De la drogue ? Moi ? Jamais ! "", renifla Tom"
pun_37_9,'Angel dust ? Me ? Never touch it !''Tom snorted.,"""La PCP ? Moi ? Jamais touché !"" renifla Tom. "
pun_37_10,'Angel dust ? Me ? Never touch it !''Tom snorted.,"""De la coke ? Moi ? Sûrement pas !"" renifla Tom."
pun_37_11,'Angel dust ? Me ? Never touch it !''Tom snorted.,« La PCP ? Moi ? Jamais touché de ma vie ! » répondit Tom en humant.
pun_37_12,'Angel dust ? Me ? Never touch it !''Tom snorted.,« De la poussière d’ange ? Moi ? Jamais touché ! » renifla Tom.
pun_37_13,'Angel dust ? Me ? Never touch it !''Tom snorted.,"""De la coke ?! Moi ?"" dit Tom en reniflant"
pun_37_14,'Angel dust ? Me ? Never touch it !''Tom snorted.,"""De la poudre ? Moi ? Je n'en ai jamais pris !"" renifla Tom."
pun_37_15,'Angel dust ? Me ? Never touch it !''Tom snorted.,« L'Angel dust ? Moi ? J'y ai jamais touché ! » dit Tom en reniflant.
pun_37_16,'Angel dust ? Me ? Never touch it !''Tom snorted.,"« Hein ? Mais non, je n’ai pas touché à la bière ! », éructa Tom."
pun_37_17,'Angel dust ? Me ? Never touch it !''Tom snorted.,"""De la cocaïne, ? Moi ? Je ne touche pas à ça !"" dit Tom en reniflant. "
pun_37_18,'Angel dust ? Me ? Never touch it !''Tom snorted.,"""La cocaïne? Moi? Jamais"" renifla Toto, méprisant."
pun_38_1,'Are you homosexual ?''Tom queried gaily.,« T’es homo? » demanda Tom gaiement.
pun_38_2,'Are you homosexual ?''Tom queried gaily.,"« Tu es homosexuel ? », demanda Tom gaiement."
pun_38_3,'Are you homosexual ?''Tom queried gaily.,"""Êtes-vous homosexuel?"" demanda Tom gaiement."
pun_38_4,'Are you homosexual ?''Tom queried gaily.,"""Es-tu homosexuel ?"" demanda Tom gaiement."
pun_38_5,'Are you homosexual ?''Tom queried gaily.,"""Es-tu homosexuel ?"" Tom demanda gayment."
pun_38_6,'Are you homosexual ?''Tom queried gaily.,es tu homosexuel ?' s'enquit Tom gaiement
pun_38_7,'Are you homosexual ?''Tom queried gaily.,« Êtes-vous homosexuel ? » interrogea Tom gaiement. 
pun_38_8,'Are you homosexual ?''Tom queried gaily.,"""Tu es homosexuel ?"", demanda Tom gaiement."
pun_38_10,'Are you homosexual ?''Tom queried gaily.,"""Etes-vous homosexuel ?"" s'enquit Tom d'un ton gai.
"
pun_38_11,'Are you homosexual ?''Tom queried gaily.,"""Es-tu homosexuel? ?"" demanda Tom, gaiement. "
pun_38_12,'Are you homosexual ?''Tom queried gaily.,« Êtes-vous homosexuel ? » s’enquit gaiement Tom. 
pun_38_13,'Are you homosexual ?''Tom queried gaily.,"""Êtes-vous homosexuel ?"" s'enquit Tom gaiement."
